<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.06.11	00:30:00	61885.32	61929.82	61762.67	61815.56	2666	0	1000
2026.06.11	01:00:00	61815.51	62231.32	61815.07	62175.63	3008	0	1000
2026.06.11	01:30:00	62175.66	62374.21	62089.51	62203.60	2741	0	1000
2026.06.11	02:00:00	62203.53	62305.11	62039.94	62061.23	2684	0	1000
2026.06.11	02:30:00	62061.16	62224.97	61935.21	62135.90	2685	0	1000
2026.06.11	03:00:00	62135.91	62188.36	62000.41	62108.58	2202	0	1000
2026.06.11	03:30:00	62108.58	62900.21	62101.93	62683.63	3706	0	1000
2026.06.11	04:00:00	62684.00	62740.68	62571.02	62618.03	2657	0	1000
2026.06.11	04:30:00	62618.14	62854.37	62538.57	62717.61	2366	0	1000
2026.06.11	05:00:00	62717.62	62726.13	62550.86	62636.47	2293	0	1000
2026.06.11	05:30:00	62636.55	62712.99	62589.96	62611.66	2194	0	1000
2026.06.11	06:00:00	62611.72	63011.24	62533.40	62878.66	2824	0	1000
2026.06.11	06:30:00	62878.68	63004.85	62745.65	62760.41	2196	0	1000
2026.06.11	07:00:00	62760.44	62798.81	62605.46	62788.55	2183	0	1000
2026.06.11	07:30:00	62788.56	62840.97	62604.04	62716.13	1964	0	1000
2026.06.11	08:00:00	62711.03	62960.40	62710.37	62950.11	2114	0	1000
2026.06.11	08:30:00	62950.11	63054.94	62840.42	62957.10	2077	0	1000
2026.06.11	09:00:00	62957.09	62965.41	62780.75	62814.65	1958	0	1000
2026.06.11	09:30:00	62814.60	62996.65	62812.33	62927.44	1920	0	1000
2026.06.11	10:00:00	62924.32	62980.96	62795.44	62846.94	2146	0	1000
2026.06.11	10:30:00	62846.93	63210.19	62838.86	63139.28	2392	0	1000
2026.06.11	11:00:00	63138.01	63214.76	63040.30	63151.39	2316	0	1000
2026.06.11	11:30:00	63159.43	63263.29	63080.02	63104.94	2337	0	1000
2026.06.11	12:00:00	63104.90	63198.05	62659.05	62678.32	3525	0	1000
2026.06.11	12:30:00	62674.82	63050.42	62494.76	62999.29	4466	0	1000
2026.06.11	13:00:00	62999.46	63053.64	62782.62	62816.96	2599	0	1000
2026.06.11	13:30:00	62816.95	63233.52	62663.52	63081.60	5012	0	1000
2026.06.11	14:00:00	63081.55	63095.27	62727.00	63009.42	4392	0	1000
2026.06.11	14:30:00	63009.41	63071.65	62726.77	62727.79	3566	0	1000
2026.06.11	15:00:00	62728.02	62863.83	62524.29	62728.34	3976	0	1000
2026.06.11	15:30:00	62724.29	62887.25	62564.10	62753.98	3301	0	1000
2026.06.11	16:00:00	62753.96	62844.89	62569.98	62632.30	2977	0	1000
2026.06.11	16:30:00	62631.55	62812.49	62548.02	62575.41	3084	0	1000
2026.06.11	17:00:00	62575.41	62981.48	62339.35	62956.04	4211	0	1000
2026.06.11	17:30:00	62954.42	63671.91	62954.42	63644.53	8039	0	1000
2026.06.11	18:00:00	63641.57	63799.56	63315.64	63394.57	4753	0	1000
2026.06.11	18:30:00	63394.60	63578.51	63367.69	63455.89	2516	0	1000
2026.06.11	19:00:00	63455.86	63706.06	63379.90	63591.69	3149	0	1000
2026.06.11	19:30:00	63591.50	63940.79	63587.92	63599.74	3552	0	1000
2026.06.11	20:00:00	63626.59	63667.43	63322.79	63378.25	2270	0	1000
2026.06.11	20:30:00	63376.72	63412.93	63267.38	63389.12	2003	0	1000
2026.06.11	21:00:00	63389.12	63606.15	63387.15	63484.59	1843	0	1000
2026.06.11	21:30:00	63484.56	63582.03	63453.34	63523.26	2032	0	1000
2026.06.11	22:00:00	63520.81	63677.01	63500.26	63595.07	2305	0	1000
2026.06.11	22:30:00	63595.05	63644.52	63456.80	63496.22	1878	0	1000
2026.06.11	23:00:00	63496.21	63498.16	63354.73	63377.02	2033	0	1000
2026.06.11	23:30:00	63377.03	63734.71	63376.96	63625.60	2101	0	1000
2026.06.12	00:00:00	63625.60	63805.65	63517.30	63612.27	2330	0	1000
2026.06.12	00:30:00	63612.10	63746.54	63557.70	63642.17	2178	0	1000
2026.06.12	01:00:00	63642.21	63642.23	63294.09	63351.83	2486	0	1000
2026.06.12	01:30:00	63350.66	63465.11	63304.08	63429.94	2303	0	1000
2026.06.12	02:00:00	63429.95	63784.14	63429.81	63558.99	2313	0	1000
2026.06.12	02:30:00	63558.89	63645.20	63486.92	63619.49	2047	0	1000
2026.06.12	03:00:00	63619.52	63650.01	63345.56	63432.59	2003	0	1000
2026.06.12	03:30:00	63432.63	63532.02	63432.60	63518.40	2083	0	1000
2026.06.12	04:00:00	63526.71	63811.87	63421.64	63786.43	2416	0	1000
2026.06.12	04:30:00	63783.74	63869.25	63677.28	63694.61	2056	0	1000
2026.06.12	05:00:00	63694.63	63723.91	63412.49	63488.65	2157	0	1000
2026.06.12	05:30:00	63488.70	63501.77	63293.55	63345.04	2298	0	1000
2026.06.12	06:00:00	63346.14	63416.09	63088.21	63145.85	2505	0	1000
2026.06.12	06:30:00	63143.85	63143.85	62826.27	62983.85	2864	0	1000
2026.06.12	07:00:00	62983.86	63122.65	62943.35	63017.89	2391	0	1000
2026.06.12	07:30:00	63017.89	63214.99	62963.80	63099.97	2354	0	1000
2026.06.12	08:00:00	63099.96	63619.94	63092.88	63534.46	2943	0	1000
2026.06.12	08:30:00	63534.44	63546.84	63353.55	63468.74	2091	0	1000
2026.06.12	09:00:00	63468.74	63797.71	63428.40	63768.64	2562	0	1000
2026.06.12	09:30:00	63768.66	63962.91	63748.74	63762.56	2588	0	1000
2026.06.12	10:00:00	63761.74	63855.32	63576.38	63616.45	2556	0	1000
2026.06.12	10:30:00	63616.47	63765.50	63609.75	63695.67	2153	0	1000
2026.06.12	11:00:00	63695.67	63889.73	63681.47	63823.26	2277	0	1000
2026.06.12	11:30:00	63823.25	63890.76	63683.24	63758.22	2221	0	1000
2026.06.12	12:00:00	63758.09	63779.01	63457.30	63471.29	2479	0	1000
2026.06.12	12:30:00	63464.84	63571.72	63366.85	63462.74	2714	0	1000
2026.06.12	13:00:00	63462.73	63538.14	63349.85	63412.90	2405	0	1000
2026.06.12	13:30:00	63415.98	63459.22	63048.23	63226.68	5331	0	1000
2026.06.12	14:00:00	63227.18	63658.30	63188.00	63629.39	4641	0	1000
2026.06.12	14:30:00	63629.34	64013.14	63456.90	63998.34	4961	0	1000
2026.06.12	15:00:00	63998.32	64392.82	63886.53	64135.89	4987	0	1000
2026.06.12	15:30:00	64136.18	64136.18	63547.09	63589.61	4416	0	1000
2026.06.12	16:00:00	63590.65	64000.42	63509.04	63906.63	4242	0	1000
2026.06.12	16:30:00	63907.29	64005.27	63765.41	63983.14	3083	0	1000
2026.06.12	17:00:00	63983.52	64109.31	63733.47	63817.88	2725	0	1000
2026.06.12	17:30:00	63817.92	63916.79	63749.88	63866.47	2733	0	1000
2026.06.12	18:00:00	63866.55	63938.37	63680.68	63774.69	2697	0	1000
2026.06.12	18:30:00	63774.67	63917.51	63670.70	63684.21	2420	0	1000
2026.06.12	19:00:00	63684.19	63784.83	63641.99	63729.62	2101	0	1000
2026.06.12	19:30:00	63729.60	63819.47	63581.68	63581.68	2278	0	1000
2026.06.12	20:00:00	63584.32	63696.64	63503.25	63518.92	1972	0	1000
2026.06.12	20:30:00	63518.87	63571.15	63388.23	63446.24	2106	0	1000
2026.06.12	21:00:00	63452.35	63629.37	63435.97	63511.84	1799	0	1000
2026.06.12	21:30:00	63511.82	63577.05	63440.24	63473.99	1951	0	1000
2026.06.12	22:00:00	63473.90	63660.17	63469.98	63595.48	1872	0	1000
2026.06.12	22:30:00	63595.48	63620.31	63462.22	63505.22	1810	0	1000
2026.06.12	23:00:00	63505.20	63512.36	63417.75	63447.37	1720	0	1000
2026.06.12	23:30:00	63447.43	63583.60	63432.81	63576.99	1759	0	1000
2026.06.13	00:00:00	63577.02	63609.25	63521.56	63522.30	1767	0	1000
2026.06.13	00:30:00	63522.30	63649.70	63502.29	63593.65	1726	0	1000
2026.06.13	01:00:00	63594.19	63703.10	63594.19	63659.10	1762	0	1000
2026.06.13	01:30:00	63659.10	63855.35	63634.59	63834.64	1918	0	1000
2026.06.13	02:00:00	63834.65	63836.22	63677.04	63716.78	1672	0	1000
2026.06.13	02:30:00	63716.76	63729.86	63547.38	63637.69	1820	0	1000
2026.06.13	03:00:00	63640.68	63722.70	63397.71	63514.39	1851	0	1000
2026.06.13	03:30:00	63514.30	63560.75	63476.22	63530.94	1629	0	1000
2026.06.13	04:00:00	63530.94	63591.96	63476.75	63538.80	1552	0	1000
2026.06.13	04:30:00	63538.81	63649.31	63501.51	63508.18	1569	0	1000
2026.06.13	05:00:00	63508.17	63595.30	63484.82	63566.39	1622	0	1000
2026.06.13	05:30:00	63566.46	63590.32	63492.23	63584.01	1686	0	1000
2026.06.13	06:00:00	63584.02	63677.07	63544.79	63676.79	1643	0	1000
2026.06.13	06:30:00	63676.80	63747.67	63640.38	63735.05	1537	0	1000
2026.06.13	07:00:00	63734.98	63809.36	63664.89	63781.70	1691	0	1000
2026.06.13	07:30:00	63781.70	63896.95	63740.45	63847.82	1784	0	1000
2026.06.13	08:00:00	63847.82	63887.68	63750.83	63792.52	1828	0	1000
2026.06.13	08:30:00	63792.60	63912.56	63786.23	63795.63	1605	0	1000
